Joseph Fernández de Veita,"Fernández de Veita, Joseph [Sin match LC]",PER
San Franco,Franciscans,ORG
Fresnillo,"Fresnillo (Zacatecas, Mexico)",LOC
Pedro de la Fuente,"Fuente, Pedro de la [Sin match LC]",PER
Pedro Joseph de la Fuente,"Fuente, Pedro Joseph de la [Sin match LC]",PER
Galicia,Galicia (Spain),LOC
Felipe Galindo,"Galindo, Felipe [Sin match LC]",PER
Juan de Garate y Francia,"Garate y Francia, Juan de [Sin match LC]",PER
Marqués de Leyva y de Ladrada,"García de Toledo, García, Virrey de Nueva España [Sin match LC]",PER
Jose García de Salcedo,"García Salcedo, José [Sin match LC]",PER
Josef García Salcedo,"García Salcedo, José [Sin match LC]",PER
Joseph Garcia de salcedo,"García Salcedo, José [Sin match LC]",PER
Conde de Salvatierra,"García Sarmiento de Sotomayor, García, Conde de Salvatierra, -1659",PER
Juan Bautista de Garmendia,"Garmendia, Juan Bautista de [Sin match LC]",PER
Miguel de la Garza Falcón,"Garza Falcón, Miguel de la [Sin match LC]",PER
Gila,Gila River (N.M. and Ariz.),LOC
Cornelio Godínez,"Godínez, Cornelio [Sin match LC]",PER
Domingo Gomendio,"Gomendio, Domingo [Sin match LC]",PER
Luis Gómez Raposo,"Gómez Raposo, Luis [Sin match LC]",PER
Francisco González,"González, Francisco [Sin match LC]",PER
Francisco de Gorraes,"Gorraez y Beaumont, Francisco [Sin match LC]",PER
Francisco Gorraes,"Gorraez y Beaumont, Francisco [Sin match LC]",PER
Francisco Gorraez,"Gorraez y Beaumont, Francisco [Sin match LC]",PER
Francisco Gorráez,"Gorraez y Beaumont, Francisco [Sin match LC]",PER
Joseph Ignacio de Goyeneche,"Goyeneche, Joseph Ignacio de [Sin match LC]",PER
Gran Quivira,Gran Quivira (N.M.),LOC
Guadalajara,"Guadalajara (Jalisco, Mexico)",LOC
Guainomota,"Guainomota (Nayarit, Mexico) [Sin match LC]",LOC
Diego Fajardo,"Guajardo Fajardo, Diego [Sin match LC]",PER
Diego Guajardo,"Guajardo Fajardo, Diego [Sin match LC]",PER
Guanaceví,"Guanaceví (Durango, Mexico)",LOC
Guanajuato,"Guanajuato (Guanajuato, Mexico)",LOC
Guatemala,Guatemala,LOC
Conde de Fonclara,"Güemes Pacheco de Padilla, Juan Vicente de, Conde de Revillagigedo, 1740-1799",PER
Conde de Revillagigedo,"Güemes Pacheco de Padilla, Juan Vicente de, Conde de Revillagigedo, 1740-1799",PER
Guevavi,Guevavi (Ariz.),LOC
Fernando de Haro,"Haro Monteroso, Fernando de [Sin match LC]",PER
La Habana,Havana (Cuba),LOC
don Agustín,"Herbaute del Camino, Agustín [Sin match LC]",PER
Parral,"Hidalgo del Parral (Chihuahua, Mexico)",LOC
